X,Y,region,altitude,surface,parcelle_active,plante_reference,climat,typo_pays_principale,typo_pays_secondaire,bassin_prod_principal,bassin_prod_secondaire,topographie,plan_eau,exposition,orientation_vent,enclave,corridor,drain,biogeoregions,geometry,temperature,land_cover,theta,presence_absence,observation
4.09878213219332,44.1751981759581,OCCITANIE,151,0.89,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,"",Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,4.09878213219332|44.1751981759581,8.8417911529541,Agro-natural fields,0.000250689620363013,0,Species not observed
-0.134212152298594,46.2698671432299,NOUVELLE-AQUITAINE,149,43.82,1,Mais,Oceanique a semi oceanique sud,Open field,Information inconnue,Zone de polyculture-elevage,Zone de polyculture-elevage,Plaine,0,Plein soleil,Sud-Ouest,0,0,0,,-0.134212152298594|46.2698671432299,8.2200870513916,Extensive fields,0.462678360864805,1,Species observed
5.00966115260475,45.3747234444572,AUVERGNE-RHONE-ALPES,350,4.26,1,Mais,Semi-continental sud,Open field,Paysage mixte,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,5.00966115260475|45.3747234444572,7.55733633041382,Extensive fields,0.0303741502879548,0,Species not observed
5.22672658128356,45.8201446187343,AUVERGNE-RHONE-ALPES,200,22.85,1,Mais,Semi-continental sud,Open field,Autres,Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,5.22672658128356|45.8201446187343,7.94942617416382,Extensive fields,0.181997993211491,0,Species not observed
5.08879524265028,45.7866514124262,AUVERGNE-RHONE-ALPES,190,29.54,1,Mais,Semi-continental sud,Open field,"Batis, milieu suburbain",Zone de grandes cultures,Zone de grandes cultures,Plaine,0,Plein soleil,Nord,0,1,0,,5.08879524265028|45.7866514124262,8.0700626373291,Extensive fields,0.289114861578699,0,Species not observed
1.33867954757646,47.157154018614,CENTRE-VAL DE LOIRE,166,28.5,0,Ble,Semi-continental sud,Paysage mixte,Paysage mixte,Zone de polyculture-elevage,Zone de polyculture-elevage,Plateau,0,Semi ombrage,Nord-Est,1,1,0,,1.33867954757646|47.157154018614,8.06099891662598,Extensive fields,0.279890381418524,0,Species not observed
4.04530270520459,43.7321162323145,OCCITANIE,50,0.84,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,"",Bassin viticole,Bassin viticole,Haut de coteau,0,Plein soleil,Nord-Est,0,1,0,,4.04530270520459|43.7321162323145,10.6536808013916,Agro-natural fields,0.683175547313304,1,Species observed
3.55510146440436,43.5906171064681,OCCITANIE,89,0.72,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,"",Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Nord-Est,0,0,0,,3.55510146440436|43.5906171064681,10.5544986724854,Agro-natural fields,0.567704919107126,1,Species observed
3.54739395646276,43.6635220076762,OCCITANIE,49,1.99,1,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,"",Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Nord-Est,0,0,0,,3.54739395646276|43.6635220076762,10.296838760376,Agro-natural fields,0.265845106893011,0,Species not observed
3.81516993073851,43.8059879647357,OCCITANIE,150,7.65,0,Vigne,"Mediterraneen, zone de l'olivier",Paysage mixte,"",Bassin viticole,Bassin viticole,Plaine,0,Plein soleil,Nord-Est,0,1,0,,3.81516993073851|43.8059879647357,9.41146278381348,Agro-natural fields,0.00430919319785378,0,Species not observed
